1000000 0.028127
2000000 0.027613
3000000 0.027891
4000000 0.027838
5000000 0.027445
6000000 0.027825
7000000 0.027900
8000000 0.027639
9000000 0.028246
10000000 0.027544
11000000 0.027297
12000000 0.027524
13000000 0.027482
14000000 0.027270
15000000 0.027462
16000000 0.027565
17000000 0.027583
18000000 0.027369
19000000 0.027396
20000000 0.027399
21000000 0.027432
22000000 0.027344
23000000 0.027412
24000000 0.027563
25000000 0.027434
26000000 0.027439
27000000 0.028386
28000000 0.028035
29000000 0.028164
30000000 0.027446
