1000000 0.000974
2000000 0.002050
3000000 0.002830
4000000 0.003756
5000000 0.004708
6000000 0.005665
7000000 0.006573
8000000 0.007551
9000000 0.008423
10000000 0.009158
11000000 0.010198
12000000 0.010913
13000000 0.011828
14000000 0.013001
15000000 0.013655
16000000 0.014557
17000000 0.015484
18000000 0.016321
19000000 0.017314
20000000 0.018495
21000000 0.019113
22000000 0.020044
23000000 0.021880
24000000 0.021981
25000000 0.022793
26000000 0.023650
27000000 0.024577
28000000 0.025459
29000000 0.027075
30000000 0.027814
