1000000 0.000988
2000000 0.001972
3000000 0.003069
4000000 0.003870
5000000 0.004809
6000000 0.006502
7000000 0.006921
8000000 0.007550
9000000 0.008565
10000000 0.009517
11000000 0.010253
12000000 0.011031
13000000 0.011809
14000000 0.013012
15000000 0.014213
16000000 0.014888
17000000 0.015527
18000000 0.016337
19000000 0.017223
20000000 0.018209
21000000 0.019138
22000000 0.020750
23000000 0.021426
24000000 0.022174
25000000 0.022708
26000000 0.024374
27000000 0.024572
28000000 0.025487
29000000 0.026523
30000000 0.027599
