1000000 0.028396
2000000 0.028109
3000000 0.027688
4000000 0.027254
5000000 0.027236
6000000 0.027317
7000000 0.027309
8000000 0.027384
9000000 0.027359
10000000 0.027472
11000000 0.027242
12000000 0.027185
13000000 0.027334
14000000 0.027262
15000000 0.027226
16000000 0.027242
17000000 0.027265
18000000 0.027949
19000000 0.029318
20000000 0.028173
21000000 0.027519
22000000 0.028246
23000000 0.027512
24000000 0.027495
25000000 0.027378
26000000 0.028200
27000000 0.028410
28000000 0.028065
29000000 0.027623
30000000 0.027432
